Request_ID,Created_At,Category,Status,Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude,Sentiment_Score,Delay_Minutes,Transit_Route_ID,Complaint_Text,Source,Sentiment_Label,Delay_Severity,NeedScore,Month,Quarter,Day_of_Week
16,2025-07-30 11:00:00,Garbage,In Progress,9,Malleshwaram,133,13.081282050215865,77.73656167823542,0.83,-5,110,Illegal parking,Call Center,positive,Early,49.8,7,Q3,Wednesday
17,2025-09-25 12:00:00,Graffiti,Resolved,16,Malleshwaram,131,13.095417073159439,77.63226454251622,-0.16,13,102,Streetlight not working,Twitter,neutral,Slight Delay,34.43,9,Q3,Thursday
18,2025-02-19 08:00:00,Water Leak,In Progress,13,Whitefield,9,12.991836048378493,77.71960829099586,-0.95,19,118,Broken footpath,Mobile App,negative,Slight Delay,90.1,2,Q1,Wednesday
19,2025-07-09 19:00:00,Garbage,Resolved,19,Koramangala,122,13.072100478709444,77.65188892826299,-0.77,0,190,Broken footpath,Twitter,negative,On-Time,53.1,7,Q3,Wednesday
20,2025-05-22 01:00:00,Noise,In Progress,18,Whitefield,114,12.907954012428688,77.61104308821692,0.94,-5,106,Noise from bar at night,Call Center,positive,Early,56.4,5,Q2,Thursday
21,2025-09-24 12:00:00,Graffiti,Resolved,12,HSR Layout,20,12.877759676147463,77.50174870529793,0.75,19,190,Water leakage on road,Call Center,positive,Slight Delay,78.1,9,Q3,Wednesday
22,2025-12-28 02:00:00,Streetlight,Open,12,Yelahanka,83,12.974954234352102,77.50338623906265,-0.03,17,133,Illegal parking,Call Center,neutral,Slight Delay,32.14,12,Q4,Sunday
23,2025-04-17 14:00:00,Pothole,Open,1,Yelahanka,21,13.052795854870945,77.59177108758591,0.92,11,110,Water leakage on road,Call Center,positive,Slight Delay,77.27,4,Q2,Thursday
24,2025-11-24 01:00:00,Noise,Open,20,Indiranagar,33,13.013663405810084,77.71113266469241,-0.63,11,104,Water leakage on road,Mobile App,negative,Slight Delay,59.87,11,Q4,Monday
25,2025-03-27 07:00:00,Streetlight,In Progress,8,Marathahalli,133,13.009330042035941,77.48456560336456,-0.78,15,170,Pothole near school,Mobile App,negative,Slight Delay,74.39,3,Q1,Thursday
26,2025-04-25 11:00:00,Water Leak,In Progress,17,Yelahanka,152,12.854364727056291,77.74951554488773,0.2,5,135,Pothole near school,Email,neutral,On-Time,25.79,4,Q2,Friday
27,2025-01-08 21:00:00,Noise,In Progress,20,Marathahalli,191,12.929373223091272,77.71277367695045,-0.24,14,104,Pothole near school,Mobile App,negative,Slight Delay,40.61,1,Q1,Wednesday
28,2025-04-24 22:00:00,Streetlight,Open,7,Marathahalli,26,13.08487394663062,77.5677676311994,-0.32,6,155,Overflowing garbage,Call Center,negative,On-Time,34.37,4,Q2,Thursday
29,2025-05-06 05:00:00,Noise,Resolved,9,HSR Layout,108,12.883568384879231,77.52593549922733,0.47,18,104,Noise from bar at night,Email,positive,Slight Delay,59.92,5,Q2,Tuesday
30,2025-07-14 02:00:00,Garbage,Open,17,Koramangala,89,13.031591486296788,77.7265988285497,-0.7,7,126,Illegal parking,Call Center,negative,On-Time,58.55,7,Q3,Monday
31,2025-03-21 03:00:00,Graffiti,Open,10,Indiranagar,92,13.03982778845201,77.486963485771,0.56,12,192,Streetlight not working,Email,positive,Slight Delay,57.05,3,Q1,Friday
32,2025-11-19 06:00:00,Streetlight,Resolved,4,Yelahanka,33,13.033208310798072,77.55418698062576,-0.28,16,126,Water leakage on road,Mobile App,negative,Slight Delay,45.77,11,Q4,Wednesday
33,2025-02-22 19:00:00,Graffiti,Resolved,7,Basavanagudi,18,13.097321223525043,77.4751737045482,0.97,18,131,Streetlight not working,Mobile App,positive,Slight Delay,89.92,2,Q1,Saturday
34,2025-03-05 16:00:00,Garbage,Resolved,7,Koramangala,18,12.95230205283798,77.73603868391936,0.62,-5,188,Broken footpath,Mobile App,positive,Early,37.2,3,Q1,Wednesday
35,2025-05-29 04:00:00,Garbage,Resolved,8,Malleshwaram,166,13.020548348052255,77.63528688460262,0.29,-3,197,Water leakage on road,Email,positive,Early,20.16,5,Q2,Thursday
36,2025-06-12 02:00:00,Graffiti,Open,8,Basavanagudi,33,12.898413778345951,77.55085389340204,-0.54,11,114,Garbage not collected,Twitter,negative,Slight Delay,54.47,6,Q2,Thursday
37,2025-08-13 17:00:00,Streetlight,In Progress,16,HSR Layout,27,12.949927478967771,77.53264494961113,0.91,1,197,Pothole near school,Call Center,positive,On-Time,62.88,8,Q3,Wednesday
38,2025-12-18 09:00:00,Graffiti,Open,12,Koramangala,49,12.972890150608281,77.58322828806291,-0.93,11,198,Overflowing garbage,Mobile App,negative,Slight Delay,77.87,12,Q4,Thursday
39,2025-11-10 01:00:00,Graffiti,Resolved,15,HSR Layout,178,12.903706885275007,77.47741354310219,-0.55,10,153,Pothole near school,Mobile App,negative,Slight Delay,53.69,11,Q4,Monday
40,2025-04-19 20:00:00,Pothole,In Progress,8,Koramangala,143,13.076702685589714,77.71680467906963,-0.93,6,119,Noise from bar at night,Call Center,negative,On-Time,70.97,4,Q2,Saturday
41,2025-10-21 09:00:00,Streetlight,In Progress,9,Marathahalli,108,13.029049457616841,77.60328211308521,0.93,19,187,Streetlight not working,Twitter,positive,Slight Delay,88.9,10,Q4,Tuesday
42,2025-09-17 19:00:00,Pothole,Open,3,Indiranagar,180,12.920939442023123,77.667529437405,0.74,2,133,Broken footpath,Call Center,positive,On-Time,54.06,9,Q3,Wednesday
43,2025-08-17 14:00:00,Noise,Open,16,Yelahanka,68,12.883739109824399,77.52012375250833,0.9,5,133,Water leakage on road,Mobile App,positive,On-Time,67.79,8,Q3,Sunday
44,2025-10-23 19:00:00,Graffiti,Open,15,BTM Layout,99,12.921966832105626,77.60112477826301,0.43,-3,145,Garbage not collected,Mobile App,positive,Early,28.56,10,Q4,Thursday
45,2025-02-02 07:00:00,Noise,In Progress,4,Jayanagar,19,13.005746345560771,77.51332584089809,-0.95,22,190,Water leakage on road,Twitter,negative,Heavy Delay,94.24,2,Q1,Sunday
46,2025-12-09 18:00:00,Streetlight,In Progress,20,Indiranagar,25,13.05660215957757,77.69482838438618,0.86,23,120,Broken footpath,Email,positive,Heavy Delay,90.22,12,Q4,Tuesday
47,2025-05-12 08:00:00,Graffiti,In Progress,16,Marathahalli,104,12.97579206426379,77.68258250295231,-0.16,6,196,Illegal parking,Twitter,neutral,On-Time,24.77,5,Q2,Monday
48,2025-03-08 01:00:00,Noise,Resolved,10,Marathahalli,76,12.875623668376129,77.49446069725892,-0.26,-2,138,Garbage not collected,Call Center,negative,Early,19.74,3,Q1,Saturday
49,2025-06-14 07:00:00,Water Leak,Resolved,11,BTM Layout,76,12.912328716602772,77.47235207022082,-0.43,3,139,Graffiti on wall,Mobile App,negative,On-Time,36.83,6,Q2,Saturday
50,2025-11-11 19:00:00,Garbage,Open,5,Marathahalli,106,12.936285979847387,77.69725902096641,-0.43,20,143,Water leakage on road,Twitter,negative,Heavy Delay,60.28,11,Q4,Tuesday
51,2025-05-09 01:00:00,Graffiti,In Progress,11,Basavanagudi,153,13.009034063427757,77.48289437142178,0.6,16,135,Broken footpath,Mobile App,positive,Slight Delay,64.97,5,Q2,Friday
52,2025-02-12 13:00:00,Garbage,Open,13,Marathahalli,33,12.91166084384042,77.6145451942056,-0.49,15,154,Garbage not collected,Email,negative,Slight Delay,56.99,2,Q1,Wednesday
53,2025-06-10 03:00:00,Pothole,In Progress,15,Malleshwaram,188,12.908482098163473,77.61034618937943,-0.56,23,188,Noise from bar at night,Twitter,negative,Heavy Delay,72.22,6,Q2,Tuesday
54,2025-11-29 21:00:00,Noise,Open,6,Yelahanka,37,12.921550467155297,77.51088322043965,0.4,15,170,Garbage not collected,Twitter,positive,Slight Delay,51.59,11,Q4,Saturday
55,2025-10-14 09:00:00,Pothole,Resolved,16,Indiranagar,92,12.998132261113387,77.62740693976544,-0.43,11,149,Water leakage on road,Mobile App,negative,Slight Delay,47.87,10,Q4,Tuesday
56,2025-08-25 11:00:00,Graffiti,In Progress,15,Jayanagar,124,12.973157570985542,77.60082656223938,-0.97,10,157,Streetlight not working,Email,negative,Slight Delay,78.89,8,Q3,Monday
57,2025-01-07 17:00:00,Garbage,Resolved,11,Basavanagudi,43,13.06040898832561,77.60275676671195,0.86,6,173,Illegal parking,Mobile App,positive,On-Time,66.77,1,Q1,Tuesday
58,2025-06-29 01:00:00,Garbage,In Progress,20,Basavanagudi,126,13.024483078603328,77.5579099929274,-0.37,24,173,Streetlight not working,Call Center,negative,Heavy Delay,62.2,6,Q2,Sunday
59,2025-02-11 11:00:00,Noise,Open,2,Jayanagar,9,13.016705467989082,77.70152856707755,0.53,9,137,Water leakage on road,Call Center,positive,On-Time,51.11,2,Q1,Tuesday
60,2025-11-14 21:00:00,Graffiti,In Progress,2,Marathahalli,14,12.888662515501153,77.47531116886047,-0.06,9,123,Pothole near school,Email,neutral,On-Time,22.91,11,Q4,Friday
61,2025-02-12 08:00:00,Water Leak,Resolved,12,Koramangala,131,12.863806949653046,77.5815869143546,-0.73,-5,173,Garbage not collected,Call Center,negative,Early,43.8,2,Q1,Wednesday
62,2025-11-24 21:00:00,Water Leak,In Progress,16,Basavanagudi,69,12.977499716139818,77.52794490744935,0.32,-3,158,Garbage not collected,Mobile App,positive,Early,21.96,11,Q4,Monday
63,2025-09-26 07:00:00,Noise,Open,19,Basavanagudi,184,12.867910416342884,77.70452997558866,-0.54,-4,144,Streetlight not working,Twitter,negative,Early,33.78,9,Q3,Friday
64,2025-11-25 20:00:00,Graffiti,In Progress,2,Indiranagar,26,12.941004478981585,77.51752414521577,-0.42,20,125,Broken footpath,Call Center,negative,Heavy Delay,59.68,11,Q4,Tuesday
65,2025-10-13 23:00:00,Noise,Resolved,17,BTM Layout,127,12.856528087090396,77.68010744706974,-0.94,24,193,Streetlight not working,Email,negative,Heavy Delay,96.4,10,Q4,Monday
66,2025-11-26 20:00:00,Graffiti,Open,14,Malleshwaram,53,12.894202244157462,77.63345459671766,-0.97,11,190,Garbage not collected,Email,negative,Slight Delay,80.27,11,Q4,Wednesday
67,2025-12-22 09:00:00,Pothole,Resolved,16,Jayanagar,41,12.877591967172307,77.71243707661401,0.03,6,182,Graffiti on wall,Mobile App,neutral,On-Time,16.97,12,Q4,Monday
68,2025-02-06 14:00:00,Noise,In Progress,5,Marathahalli,82,13.050246250993968,77.62813818287633,-0.88,-1,164,Garbage not collected,Call Center,negative,Early,58.32,2,Q1,Thursday
69,2025-07-23 15:00:00,Graffiti,Resolved,10,HSR Layout,102,12.936531538141539,77.61694530992105,-0.58,24,196,Illegal parking,Call Center,negative,Heavy Delay,74.8,7,Q3,Wednesday
70,2025-07-22 11:00:00,Water Leak,In Progress,17,HSR Layout,21,12.869711629567998,77.69033898187446,0.85,24,110,Graffiti on wall,Call Center,positive,Heavy Delay,91.0,7,Q3,Tuesday
71,2025-09-21 19:00:00,Graffiti,Open,13,Koramangala,121,12.916370051134919,77.61874593994948,-0.83,5,149,Graffiti on wall,Email,negative,On-Time,63.59,9,Q3,Sunday
72,2025-12-24 03:00:00,Graffiti,Resolved,16,Basavanagudi,39,13.020702021517478,77.70336261769401,-0.42,13,157,Garbage not collected,Email,negative,Slight Delay,50.03,12,Q4,Wednesday
73,2025-12-28 20:00:00,Noise,Resolved,9,Basavanagudi,151,13.036408818043089,77.46479540894273,0.45,9,133,Overflowing garbage,Email,positive,On-Time,46.31,12,Q4,Sunday
74,2025-10-28 08:00:00,Pothole,In Progress,4,BTM Layout,186,12.87996628246238,77.59854495609815,0.77,24,115,Pothole near school,Twitter,positive,Heavy Delay,86.2,10,Q4,Tuesday
75,2025-08-08 20:00:00,Pothole,Resolved,16,Basavanagudi,69,13.044641609983483,77.69380745401332,-0.91,1,158,Garbage not collected,Mobile App,negative,On-Time,62.88,8,Q3,Friday
76,2025-03-27 22:00:00,Pothole,Resolved,11,HSR Layout,75,12.942639789554269,77.70450954407467,-0.63,2,100,Illegal parking,Twitter,negative,On-Time,47.46,3,Q1,Thursday
77,2025-01-03 16:00:00,Pothole,Open,7,Jayanagar,157,13.019845667233751,77.7002166132228,-0.22,4,140,Broken footpath,Email,negative,On-Time,25.61,1,Q1,Friday
78,2025-11-30 14:00:00,Streetlight,In Progress,17,Koramangala,62,13.017876947324236,77.63131439588346,-0.28,0,127,Water leakage on road,Call Center,negative,On-Time,23.7,11,Q4,Sunday
79,2025-04-18 00:00:00,Noise,In Progress,13,BTM Layout,181,13.048398180269409,77.74819140264204,-0.42,22,114,Pothole near school,Call Center,negative,Heavy Delay,62.44,4,Q2,Friday
80,2025-08-16 15:00:00,Garbage,Open,4,Malleshwaram,45,13.024295695077262,77.50441589234171,-0.52,15,179,Streetlight not working,Twitter,negative,Slight Delay,58.79,8,Q3,Saturday
81,2025-03-26 11:00:00,Noise,Open,14,HSR Layout,27,12.859717089168125,77.50233727381627,-0.46,9,145,Streetlight not working,Email,negative,On-Time,46.91,3,Q1,Wednesday
82,2025-04-23 07:00:00,Streetlight,In Progress,10,Whitefield,116,12.979870277722387,77.45984680235736,-0.73,4,131,Pothole near school,Email,negative,On-Time,56.21,4,Q2,Wednesday
83,2025-08-08 02:00:00,Pothole,Open,10,Indiranagar,162,12.891545293367743,77.74680115287669,-0.67,22,138,Garbage not collected,Email,negative,Heavy Delay,77.44,8,Q3,Friday
84,2025-08-23 02:00:00,Streetlight,Open,10,BTM Layout,142,13.092491134373173,77.55440615226671,0.21,15,164,Overflowing garbage,Call Center,positive,Slight Delay,40.19,8,Q3,Saturday
85,2025-10-08 16:00:00,Water Leak,Open,12,BTM Layout,41,12.913958634627773,77.67861625386163,-0.42,11,172,Streetlight not working,Call Center,negative,Slight Delay,47.27,10,Q4,Wednesday
86,2025-01-17 07:00:00,Water Leak,In Progress,2,HSR Layout,106,12.955026837817305,77.46791309383265,-0.2,22,192,Graffiti on wall,Email,negative,Heavy Delay,49.24,1,Q1,Friday
87,2025-09-03 12:00:00,Noise,Open,9,Koramangala,74,12.899175537943359,77.53960643189899,-0.18,16,188,Graffiti on wall,Twitter,neutral,Slight Delay,39.77,9,Q3,Wednesday
88,2025-05-29 09:00:00,Noise,Resolved,5,Indiranagar,60,12.88364728345449,77.63715420241847,-0.78,0,174,Water leakage on road,Mobile App,negative,On-Time,53.7,5,Q2,Thursday
89,2025-09-15 16:00:00,Garbage,Resolved,8,Jayanagar,42,13.000232400150928,77.60743402882979,0.64,13,110,Water leakage on road,Call Center,positive,Slight Delay,63.23,9,Q3,Monday
90,2025-05-10 03:00:00,Garbage,In Progress,14,Jayanagar,122,12.97329491218538,77.51232447190877,0.91,14,169,Garbage not collected,Call Center,positive,Slight Delay,80.81,5,Q2,Saturday
91,2025-09-19 14:00:00,Water Leak,Open,7,Basavanagudi,179,12.94366493352576,77.58847787383766,-0.47,14,133,Graffiti on wall,Mobile App,negative,Slight Delay,54.41,9,Q3,Friday
92,2025-12-16 16:00:00,Pothole,Resolved,7,Whitefield,11,12.871354755537881,77.48263459756156,-0.41,0,149,Broken footpath,Email,negative,On-Time,31.5,12,Q4,Tuesday
93,2025-05-10 08:00:00,Streetlight,In Progress,9,Yelahanka,163,13.033989841167141,77.61281104167485,0.39,8,143,Water leakage on road,Twitter,positive,On-Time,41.33,5,Q2,Saturday
94,2025-10-28 15:00:00,Garbage,Resolved,3,HSR Layout,147,12.851464074474604,77.47908243291653,-0.84,18,113,Garbage not collected,Twitter,negative,Slight Delay,82.12,10,Q4,Tuesday
95,2025-04-13 06:00:00,Graffiti,Open,14,Koramangala,118,12.964415397082329,77.64078063726785,0.81,22,171,Water leakage on road,Email,positive,Heavy Delay,85.84,4,Q2,Sunday
96,2025-04-24 19:00:00,Garbage,In Progress,17,Indiranagar,65,13.008142995198833,77.49660727342406,-0.76,7,124,Streetlight not working,Call Center,negative,On-Time,62.15,4,Q2,Thursday
97,2025-12-06 18:00:00,Pothole,Resolved,18,Koramangala,189,12.957677708902336,77.61412576768039,0.46,7,167,Water leakage on road,Email,positive,On-Time,44.15,12,Q4,Saturday
98,2025-07-30 16:00:00,Pothole,In Progress,12,Yelahanka,47,12.881552245977797,77.48873620394697,-0.42,3,149,Broken footpath,Call Center,negative,On-Time,36.23,7,Q3,Wednesday
99,2025-12-04 22:00:00,Noise,Resolved,14,Jayanagar,14,13.044562471546259,77.57021313010146,-0.35,3,194,Pothole near school,Twitter,negative,On-Time,32.03,12,Q4,Thursday
100,2025-06-10 00:00:00,Streetlight,Resolved,13,Koramangala,67,12.930985988075905,77.55554946343594,-0.72,15,184,Noise from bar at night,Call Center,negative,Slight Delay,70.79,6,Q2,Tuesday
101,2025-02-12 20:00:00,Pothole,Open,14,Jayanagar,180,12.883688887795483,77.6769232099499,0.29,18,131,Streetlight not working,Twitter,positive,Slight Delay,49.12,2,Q1,Wednesday
102,2025-11-04 17:00:00,Garbage,Open,9,Jayanagar,109,12.9875664536866,77.64234849338428,0.59,23,154,Illegal parking,Twitter,positive,Heavy Delay,74.02,11,Q4,Tuesday
103,2025-01-21 22:00:00,Garbage,Resolved,19,Whitefield,160,12.854792889391003,77.7311266461209,0.9,2,177,Pothole near school,Twitter,positive,On-Time,63.66,1,Q1,Tuesday
104,2025-10-15 22:00:00,Water Leak,In Progress,2,Jayanagar,10,12.931015922686235,77.72657319558556,-0.34,4,191,Garbage not collected,Call Center,negative,On-Time,32.81,10,Q4,Wednesday
105,2025-10-17 02:00:00,Pothole,In Progress,11,Marathahalli,124,13.03766059239835,77.66749880856841,0.24,14,124,Overflowing garbage,Email,positive,Slight Delay,40.61,10,Q4,Friday
106,2025-07-07 00:00:00,Graffiti,Open,17,Jayanagar,17,13.078177832341042,77.68117572217693,-0.17,-2,191,Noise from bar at night,Twitter,neutral,Early,14.34,7,Q3,Monday
107,2025-01-09 14:00:00,Noise,Resolved,2,Indiranagar,168,12.99793186486012,77.63747372497312,0.12,-3,178,Illegal parking,Email,neutral,Early,9.96,1,Q1,Thursday
108,2025-08-02 22:00:00,Streetlight,Open,19,Indiranagar,196,12.90440289634932,77.65749896922341,-0.67,7,151,Pothole near school,Mobile App,negative,On-Time,56.75,8,Q3,Saturday
109,2025-09-07 01:00:00,Graffiti,Resolved,7,Indiranagar,191,12.905000037678537,77.63516671059003,0.16,15,155,Garbage not collected,Mobile App,neutral,Slight Delay,37.19,9,Q3,Sunday
110,2025-11-18 17:00:00,Noise,Resolved,18,BTM Layout,143,13.0009679160531,77.54352950939042,0.7,2,121,Overflowing garbage,Twitter,positive,On-Time,51.66,11,Q4,Tuesday
111,2025-10-21 03:00:00,Garbage,Open,13,HSR Layout,97,12.951690426709682,77.55520687476141,0.73,18,146,Broken footpath,Mobile App,positive,Slight Delay,75.52,10,Q4,Tuesday
112,2025-03-03 20:00:00,Graffiti,In Progress,5,HSR Layout,167,12.894316074693975,77.62242014839089,-0.03,3,169,Streetlight not working,Twitter,neutral,On-Time,12.83,3,Q1,Monday
113,2025-11-24 10:00:00,Noise,Open,18,HSR Layout,57,13.04684925991843,77.66605307821844,-0.53,8,150,Streetlight not working,Call Center,negative,On-Time,49.73,11,Q4,Monday
114,2025-02-05 23:00:00,Garbage,Resolved,16,Marathahalli,138,12.900060759125306,77.57183571378974,0.67,-5,165,Illegal parking,Call Center,positive,Early,40.2,2,Q1,Wednesday
115,2025-04-27 06:00:00,Garbage,Open,15,Indiranagar,71,12.9304102086621,77.49280034024802,1.0,8,169,Water leakage on road,Call Center,positive,On-Time,77.93,4,Q2,Sunday
116,2025-11-05 16:00:00,Garbage,In Progress,8,Basavanagudi,97,12.865357359694526,77.58782515050578,-0.25,6,186,Garbage not collected,Email,negative,On-Time,30.17,11,Q4,Wednesday
117,2025-08-02 04:00:00,Garbage,In Progress,15,HSR Layout,17,13.025343028275666,77.73895634616052,0.85,-2,189,Illegal parking,Twitter,positive,Early,55.14,8,Q3,Saturday
118,2025-09-08 19:00:00,Garbage,Resolved,1,Yelahanka,76,12.918819481900536,77.51422606037521,0.97,16,174,Illegal parking,Twitter,positive,Slight Delay,87.17,9,Q3,Monday
119,2025-03-15 05:00:00,Water Leak,Open,17,Yelahanka,17,12.908216740587084,77.64472072608824,-0.21,15,164,Graffiti on wall,Email,negative,Slight Delay,40.19,3,Q1,Saturday
120,2025-11-12 14:00:00,Graffiti,In Progress,15,Koramangala,111,12.925839571505563,77.7447625394491,0.43,-2,191,Graffiti on wall,Email,positive,Early,29.94,11,Q4,Wednesday
121,2025-09-23 14:00:00,Noise,Open,14,BTM Layout,120,13.068532633243176,77.5628713158382,0.16,7,121,Illegal parking,Mobile App,neutral,On-Time,26.15,9,Q3,Tuesday
122,2025-10-15 04:00:00,Water Leak,In Progress,14,Basavanagudi,144,12.979504642618208,77.71636508265249,0.44,10,140,Streetlight not working,Mobile App,positive,Slight Delay,47.09,10,Q4,Wednesday
123,2025-03-11 22:00:00,Water Leak,Resolved,10,Jayanagar,119,12.8894711824668,77.7092026151528,-0.69,5,176,Illegal parking,Call Center,negative,On-Time,55.19,3,Q1,Tuesday
124,2025-05-16 02:00:00,Pothole,Resolved,2,Indiranagar,78,13.04362022182117,77.55171348770756,-0.27,-3,146,Water leakage on road,Email,negative,Early,18.96,5,Q2,Friday
125,2025-07-13 04:00:00,Pothole,Open,6,Marathahalli,3,12.902113311407371,77.47955519753474,-0.87,-4,159,Water leakage on road,Email,negative,Early,53.58,7,Q3,Sunday
126,2025-02-14 03:00:00,Pothole,Resolved,17,BTM Layout,108,12.953119037047394,77.50356174637004,0.23,19,199,Illegal parking,Email,positive,Slight Delay,46.9,2,Q1,Friday
127,2025-10-05 20:00:00,Streetlight,In Progress,5,Whitefield,51,12.992018954811964,77.55972475343044,0.85,20,121,Overflowing garbage,Twitter,positive,Heavy Delay,85.48,10,Q4,Sunday
128,2025-05-12 13:00:00,Pothole,Resolved,5,Whitefield,114,12.996110728682428,77.73774029268358,0.12,-3,103,Noise from bar at night,Mobile App,neutral,Early,9.96,5,Q2,Monday
129,2025-09-04 11:00:00,Noise,In Progress,15,Malleshwaram,94,12.867258029126818,77.53233504351444,-0.86,14,143,Broken footpath,Email,negative,Slight Delay,77.81,9,Q3,Thursday
130,2025-04-23 05:00:00,Water Leak,In Progress,15,Jayanagar,174,13.05920112292576,77.72805942377815,0.86,11,140,Garbage not collected,Call Center,positive,Slight Delay,73.67,4,Q2,Wednesday
131,2025-06-01 03:00:00,Noise,Resolved,20,Indiranagar,116,12.969857689984465,77.50440940568514,-0.73,-5,181,Overflowing garbage,Twitter,negative,Early,43.8,6,Q2,Sunday
132,2025-08-16 02:00:00,Graffiti,In Progress,11,BTM Layout,183,13.097315174929474,77.74094372770736,0.77,20,137,Water leakage on road,Email,positive,Heavy Delay,80.68,8,Q3,Saturday
133,2025-03-11 07:00:00,Pothole,In Progress,5,Whitefield,105,13.029360601986898,77.5380813606194,0.43,19,116,Streetlight not working,Mobile App,positive,Slight Delay,58.9,3,Q1,Tuesday
134,2025-08-22 00:00:00,Streetlight,Open,1,Malleshwaram,99,13.09814222607098,77.63992767903237,0.27,5,188,Streetlight not working,Email,positive,On-Time,29.99,8,Q3,Friday
135,2025-11-05 00:00:00,Graffiti,Open,11,Marathahalli,154,12.963368812016277,77.47090736734117,0.17,10,116,Illegal parking,Mobile App,neutral,Slight Delay,30.89,11,Q4,Wednesday
136,2025-02-24 10:00:00,Streetlight,Open,11,Indiranagar,76,12.88519535181017,77.53989925135619,-0.74,14,192,Graffiti on wall,Mobile App,negative,Slight Delay,70.61,2,Q1,Monday
137,2025-10-10 08:00:00,Graffiti,Resolved,6,Whitefield,159,13.031827344257412,77.51321312191352,0.0,4,144,Water leakage on road,Mobile App,neutral,On-Time,12.41,10,Q4,Friday
138,2025-09-02 08:00:00,Water Leak,Open,8,HSR Layout,81,13.044440070620778,77.45102500060517,-0.61,14,145,Streetlight not working,Call Center,negative,Slight Delay,62.81,9,Q3,Tuesday
139,2025-11-10 14:00:00,Noise,In Progress,2,Yelahanka,72,13.063208816970624,77.4970309363152,0.14,0,107,Overflowing garbage,Call Center,neutral,On-Time,15.3,11,Q4,Monday
140,2025-08-21 07:00:00,Garbage,Resolved,15,Malleshwaram,147,12.925362256401577,77.62793109495117,-0.11,-4,192,Illegal parking,Mobile App,neutral,Early,7.98,8,Q3,Thursday
141,2025-08-19 10:00:00,Noise,Resolved,9,Marathahalli,196,12.97767099602883,77.5669760519614,0.36,16,114,Streetlight not working,Twitter,positive,Slight Delay,50.57,8,Q3,Tuesday
